UCL_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL121057,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,0,3,0,3,0,0,0,0,27,0,28,0,0,0,0,5,0,5,0,0,0,0,4,0,8,0,0,0,0,4,0,11,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,3,3,0,0,0,8,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,9,0,9,0,0,0,0,7,0,7,3,3,4,12,83,3,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,12,0,0,0,3
UCL121058,0,0,0,0,0,0,0,0,0,0,0,17,0,13,0,0,0,0,7,0,16,0,0,0,0,5,0,6,0,0,0,3,18,0,20,0,0,0,0,6,0,6,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,9,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,3,0,3,0,4,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,4,0,5,3,0,14,21,97,3,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0
UCL121059,0,0,3,0,0,0,9,0,0,0,0,5,0,5,0,0,0,0,10,0,11,5,0,3,4,7,0,19,0,0,0,3,45,5,47,0,0,0,0,4,0,3,0,0,3,3,5,0,9,0,0,0,0,4,0,8,0,0,3,0,10,0,13,0,0,0,0,0,0,0,3,0,4,4,0,3,7,0,0,3,4,3,0,6,0,0,4,3,0,0,6,0,0,0,0,3,0,3,0,0,0,5,10,0,18,0,4,20,0,0,0,24,4,3,4,4,3,0,23,0,0,0,0,0,0,0,0,0,0,0,17,0,19,0,0,4,0,7,0,14,15,8,47,28,144,13,251,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,3,0,5,0,0,0,3,0,0,4,0,0,0,3,5,0,9,0,0,0,4,7,0,14,0,0,0,3
UCL121060,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,24,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,3,0,3,4,0,7,6,59,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5
UCL121061,0,0,0,3,5,0,9,0,0,0,0,5,0,7,0,0,4,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,26,0,32,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,3,16,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,4,0,0,0,3,0,4,0,0,0,0,0,0,3,3,0,5,5,5,0,19,0,0,3,0,0,0,15,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,0,0,3,6,0,8,0,0,0,0,3,0,5,4,4,16,28,107,3,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,7,0,0,0,0,6,0,10,0,0,3,0
UCL121062,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,6,4,25,0,38,0,0,3,3,0,0,13,0,0,0,3,4,0,10,0,0,0,0,3,0,3,0,0,0,4,3,0,5,0,0,3,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,5,4,4,0,20,0,0,0,3,5,0,8,0,0,3,5,8,0,16,5,5,10,0,3,0,22,0,0,4,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,9,0,11,0,0,4,0,7,0,12,8,8,40,32,94,7,185,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,5,0,10,0,0,0,7,3,0,11,0,0,0,3
UCL121063,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,5,16,0,26,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,3,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,0,0,0,4,0,3,0,0,3,0,3,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,4,9,3,0,7,15,57,6,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0
UCL121064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,3,0,5,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,5,0,0,8,11,56,6,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,11,0,0,0,0
UCL121065,0,0,3,4,9,3,16,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,3,0,3,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,7,0,3,7,3,64,3,77,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0
UCL121066,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,0,0,3,0,0,0,0,45,5,52,0,0,0,3,3,0,8,0,0,0,0,12,0,16,0,0,0,0,5,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,3,0,7,0,0,0,0,0,0,3,0,0,4,9,11,0,28,0,0,4,0,0,0,5,0,0,7,3,0,0,13,0,0,0,0,3,0,0,0,0,0,0,13,0,14,0,0,3,0,5,0,4,7,6,21,21,132,12,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,15,0,22,0,0,4,5
UCL121067,0,0,0,0,0,0,0,0,0,6,3,7,0,19,0,0,0,0,8,0,4,0,0,0,0,0,0,5,0,0,3,0,13,0,16,0,0,0,0,4,0,3,0,0,0,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,6,4,21,16,51,3,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0
UCL121068,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,5,0,11,0,0,0,0,0,0,0,0,0,3,0,18,0,18,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,3,0,3,0,7,0,0,0,0,0,0,6,3,0,8,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,6,8,0,26,18,49,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0
UCL121069,0,0,0,0,0,0,0,0,0,0,3,14,0,15,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,4,0,3,0,0,6,8,63,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,5,6,8,0,0,0,0
UCL121070,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,13,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,6,0,0,0,0,4,0,6,0,0,3,3,54,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0
UCL121071,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,5,0,0,0,0,0,0,3,0,0,0,0,7,0,13,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,6,0,6,0,20,0,0,0,3,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,8,0,0,0,0,4,0,8,0,0,3,3,4,0,10,3,0,0,0,3,0,9,0,0,0,0,3,0,7,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,5,0,5,10,3,23,24,53,5,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,10,0,0,12,10
UCL121072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,16,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,4,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,3,0,13,12,49,5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
UCL121073,0,0,0,0,5,3,4,0,0,3,0,14,8,26,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,15,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,3,0,0,0,6,0,0,4,5,0,0,6,0,0,0,0,0,0,0,0,0,3,0,5,0,9,0,0,0,0,3,0,4,3,0,16,6,55,11,93,0,0,0,0,7,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0
UCL121074,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,13,0,17,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,0,3,0,5,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,7,0,0,3,0,3,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,8,0,0,7,5,62,6,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,3,0
UCL121075,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,3,7,0,11,0,0,0,0,4,0,3,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,4,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,6,0,0,0,6,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,3,5,7,17,16,50,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,7,0,0,4,0
UCL121076,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,3,0,16,0,21,0,0,0,0,0,0,0,0,0,0,3,16,0,19,0,0,3,0,7,0,9,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,7,3,0,3,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,4,3,0,12,20,81,6,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,6,0,0,0,0
UCL121077,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,5,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,6,0,0,8,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,14,11,42,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0
UCL121078,0,0,0,3,3,0,8,0,0,0,0,4,0,0,0,0,0,0,6,0,7,0,0,0,0,4,0,4,0,0,4,0,33,0,44,0,0,0,0,0,0,0,0,0,3,0,8,0,8,0,0,0,0,4,0,4,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,6,0,0,0,10,0,0,0,0,0,0,3,0,0,3,3,5,0,14,3,0,0,0,0,0,10,0,0,5,9,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,3,10,7,35,18,81,5,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0
UCL121079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,3,13,0,24,0,0,0,0,4,0,4,0,0,0,0,3,0,7,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,0,0,4,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,9,0,20,7,43,7,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0
UCL121080,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,3,0,0,0,4,22,0,31,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,3,3,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,3,0,12,0,0,0,0,0,0,3,3,0,0,3,7,0,14,3,0,6,0,0,0,12,0,3,7,4,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,5,26,18,72,7,142,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3
UCL121081,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,4,8,0,9,0,0,0,0,4,0,8,0,0,0,4,9,0,13,0,0,0,0,0,0,0,0,0,4,0,5,0,8,0,0,0,3,11,0,12,0,0,0,3,9,0,10,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,8,4,3,0,10,0,0,0,0,3,0,7,0,3,0,5,5,0,12,3,0,8,0,0,0,9,0,0,6,0,0,0,9,0,3,0,3,0,0,12,0,0,0,0,5,0,3,0,0,0,0,3,0,5,10,6,30,24,74,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,9,3,3,0,20,0,0,4,0
UCL121082,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,15,0,17,0,0,0,0,0,0,3,0,0,0,3,34,0,42,0,0,0,0,7,0,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,13,0,0,3,0,0,0,6,0,0,3,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,5,0,11,0,0,0,3,7,3,13,10,4,24,21,88,9,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,3,4,3,0,12,0,0,0,3
UCL121083,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,3,0,12,0,17,0,0,0,0,3,0,6,0,0,3,6,19,0,26,0,0,0,3,4,0,5,0,0,3,3,4,0,9,0,0,3,0,3,0,3,0,0,0,4,6,0,12,0,0,3,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,7,3,4,0,19,0,0,0,0,0,0,0,0,0,0,8,3,0,15,3,0,6,0,0,0,10,4,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,4,0,0,6,16,6,46,27,68,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,5,4,0,11,0,0,0,0
